car_numbers1,car_numbers2,car_numbers3,car_numbers4,duration1,duration3,total_waiting_time
250,100,250,650,80,50,13841.0
250,100,250,650,80,60,17407.0
250,100,250,650,80,70,20619.0
250,100,250,650,80,80,23762.0
450,400,50,20,10,10,8443.0
450,400,50,20,10,20,23873.0
450,400,50,20,10,30,37313.0
450,400,50,20,10,40,51210.0
450,400,50,20,10,50,64801.0
450,400,50,20,10,60,78469.0
450,400,50,20,10,70,93642.0
450,400,50,20,10,80,109386.0
450,400,50,20,20,10,3124.0
450,400,50,20,20,20,6759.0
450,400,50,20,20,30,14029.0
450,400,50,20,20,40,21810.0
450,400,50,20,20,50,29321.0
450,400,50,20,20,60,37474.0
450,400,50,20,20,70,45240.0
450,400,50,20,20,80,53225.0
450,400,50,20,30,10,3057.0
450,400,50,20,30,20,5645.0
450,400,50,20,30,30,11458.0
450,400,50,20,30,40,18114.0
450,400,50,20,30,50,24502.0
450,400,50,20,30,60,30434.0
450,400,50,20,30,70,37181.0
450,400,50,20,30,80,43505.0
450,400,50,20,40,10,3142.0
450,400,50,20,40,20,5154.0
450,400,50,20,40,30,9811.0
450,400,50,20,40,40,15347.0
450,400,50,20,40,50,20730.0
450,400,50,20,40,60,25948.0
450,400,50,20,40,70,31671.0
450,400,50,20,40,80,37152.0
450,400,50,20,50,10,3482.0
450,400,50,20,50,20,4995.0
450,400,50,20,50,30,9160.0
450,400,50,20,50,40,13841.0
450,400,50,20,50,50,18623.0
450,400,50,20,50,60,23280.0
450,400,50,20,50,70,27922.0
450,400,50,20,50,80,32736.0
450,400,50,20,60,10,3852.0
450,400,50,20,60,20,4731.0
450,400,50,20,60,30,8347.0
450,400,50,20,60,40,12479.0
450,400,50,20,60,50,16470.0
450,400,50,20,60,60,20469.0
450,400,50,20,60,70,24625.0
450,400,50,20,60,80,28873.0
450,400,50,20,70,10,4088.0
450,400,50,20,70,20,4606.0
450,400,50,20,70,30,7744.0
450,400,50,20,70,40,11261.0
450,400,50,20,70,50,14707.0
450,400,50,20,70,60,18550.0
450,400,50,20,70,70,22058.0
450,400,50,20,70,80,25903.0
450,400,50,20,80,10,4527.0
450,400,50,20,80,20,4560.0
450,400,50,20,80,30,7539.0
450,400,50,20,80,40,10584.0
450,400,50,20,80,50,13841.0
450,400,50,20,80,60,17407.0
450,400,50,20,80,70,20619.0
450,400,50,20,80,80,23762.0
450,400,50,20,10,10,8443.0
450,400,50,20,10,15,16146.0
450,400,50,20,10,20,23873.0
450,400,50,20,10,25,30552.0
450,400,50,20,10,30,37313.0
450,400,50,20,10,35,44019.0
